x,y,Elevation
-87.61893552765156,41.80900597052387,600
-87.61864059172412,41.80900597052387,600
-87.61834565579667,41.80900597052387,600
-87.61805071986925,41.80900597052387,600
-87.6177557839418,41.80900597052387,600
-87.61746084801436,41.80900597052387,600
-87.61716591208693,41.80900597052387,600
-87.61687097615949,41.80900597052387,600
-87.61657604023205,41.80900597052387,600
-87.6162811043046,41.80900597052387,600
-87.61598616837716,41.80900597052387,600
-87.61569123244973,41.80900597052387,600
-87.61539629652229,41.80900597052387,600
-87.61510136059485,41.80900597052387,600
-87.61480642466742,41.80900597052387,600
-87.61451148873998,41.80900597052387,600
-87.61421655281254,41.80900597052387,600
-87.6139216168851,41.80900597052387,600
-87.61362668095765,41.80900597052387,600
-87.61333174503022,41.80900597052387,600
-87.61303680910278,41.80900597052387,600
-87.61274187317534,41.80900597052387,600
-87.6124469372479,41.80900597052387,599
-87.61215200132047,41.80900597052387,599
-87.61185706539302,41.80900597052387,599
-87.61156212946558,41.80900597052387,598
-87.61126719353814,41.80900597052387,598
-87.61097225761071,41.80900597052387,597
-87.61067732168327,41.80900597052387,597
-87.61038238575583,41.80900597052387,597
-87.61008744982838,41.80900597052387,596
-87.60979251390096,41.80900597052387,596
-87.60949757797351,41.80900597052387,595
-87.60920264204607,41.80900597052387,595
-87.60890770611863,41.80900597052387,595
-87.6086127701912,41.80900597052387,595
-87.60831783426376,41.80900597052387,595
-87.60802289833632,41.80900597052387,595
-87.60772796240887,41.80900597052387,595
-87.60743302648144,41.80900597052387,595
-87.607138090554,41.80900597052387,595
-87.60684315462656,41.80900597052387,595
-87.60654821869912,41.80900597052387,595
-87.60625328277169,41.80900597052387,595
-87.60595834684425,41.80900597052387,596
-87.6056634109168,41.80900597052387,596
-87.60536847498936,41.80900597052387,595
-87.60507353906193,41.80900597052387,595
-87.60477860313449,41.80900597052387,595
-87.60448366720705,41.80900597052387,595
-87.6041887312796,41.80900597052387,595
-87.60389379535218,41.80900597052387,595
-87.60359885942474,41.80900597052387,595
-87.6033039234973,41.80900597052387,595
-87.60300898756985,41.80900597052387,595
-87.60271405164242,41.80900597052387,595
-87.60241911571498,41.80900597052387,595
-87.60212417978754,41.80900597052387,595
-87.6018292438601,41.80900597052387,595
-87.60153430793267,41.80900597052387,595
-87.60123937200522,41.80900597052387,595
-87.60094443607778,41.80900597052387,595
-87.60064950015034,41.80900597052387,595
-87.60035456422291,41.80900597052387,595
-87.60005962829547,41.80900597052387,595
-87.59976469236803,41.80900597052387,595
-87.59946975644058,41.80900597052387,595
-87.59917482051316,41.80900597052387,595
-87.59887988458571,41.80900597052387,595
-87.59858494865827,41.80900597052387,595
-87.59829001273083,41.80900597052387,595
-87.59799507680339,41.80900597052387,595
-87.59770014087596,41.80900597052387,595
-87.59740520494852,41.80900597052387,595
-87.59711026902107,41.80900597052387,595
-87.59681533309364,41.80900597052387,595
-87.5965203971662,41.80900597052387,594
-87.59622546123876,41.80900597052387,594
-87.59593052531132,41.80900597052387,594
-87.59563558938387,41.80900597052387,594
-87.59534065345645,41.80900597052387,593
-87.595045717529,41.80900597052387,593
-87.59475078160156,41.80900597052387,593
-87.59445584567413,41.80900597052387,593
-87.59416090974669,41.80900597052387,592
